#C-B 0_1 1_1 2_1 3_1 0_2 1_2 2_2 3_2 0_4 1_4 2_4 3_4 0_5 2_5 3_5 0_7 1_7 0_8 1_8 2_8 3_8 0_9 2_10 3_10 0_11 1_11 2_11 3_11 0_12 1_12 2_12 3_12 1_14 0_15 1_15 2_15 3_15 0_17 1_17 2_17 3_17 0_18 0_19 1_19 2_19 3_19 0_20 0_21 1_21 2_21 1_22 2_24 3_24 0_27 1_27 2_27 2_29 3_29 1_31 0_32 1_32 2_33 0_34 2_37 0_39 1_39 0_40 3_40 3_41 3_45 2_47 0_48 0_49 0_50 2_52 0_55 0_58 3_60 
2000 0.414286 0.485714 0.1 0 0.09375 0.03125 0.53125 0.34375 0.166667 0 0.833333 0 0 0 0 0 0 0.346154 0.0384615 0.115385 0.5 0 0 0 0.272727 0 0.636364 0.0909091 0.2 0 0.8 0 0 0.4 0.6 0 0 0.666667 0.166667 0.166667 0 0 0.25 0.25 0.5 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2200 0.333333 0.590909 0.0757576 0 0.111111 0.037037 0.518519 0.333333 0.125 0 0.875 0 0 0 0 0 0 0.409091 0.0454545 0.0909091 0.454545 0 0 0 0 0 0.5 0.5 0.176471 0 0.764706 0.0588235 0 1 0 0 0 0.5 0 0.5 0 0 0.2 0 0.8 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2400 0.262295 0.57377 0.147541 0.0163934 0.03125 0 0.46875 0.5 0 0 1 0 0 0 0 0 0 0.4 0.0857143 0 0.514286 0 0 0 0 0 1 0 0.0714286 0 0.928571 0 0 1 0 0 0 0.5 0 0.5 0 0 0 0.0666667 0.8 0.133333 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2600 0.430769 0.476923 0.0923077 0 0.181818 0 0.545455 0.272727 0 0 1 0 0 0 0 0 0 0.45 0.025 0.1 0.425 0 0 0 0.4 0 0.6 0 0.285714 0 0.714286 0 0 0.75 0.25 0 0 0.4 0.2 0.4 0 0 0 0 1 0 0 0.666667 0.333333 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
2800 0.349206 0.555556 0.0952381 0 0.0789474 0.0263158 0.631579 0.263158 0 0.333333 0.666667 0 0 0 0 0 0 0.55 0.075 0.1 0.275 0 0 0 0.333333 0 0.666667 0 0.142857 0 0.857143 0 0 0 0.5 0 0.5 0.714286 0 0.285714 0 0 0.142857 0 0.857143 0 0 0.5 0.5 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3000 0.298246 0.649123 0.0350877 0.0175439 0.0425532 0 0.404255 0.553191 0 0 1 0 0 0 0 0 0 0.823529 0.0294118 0.0588235 0.0882353 0 0 0 0.333333 0 0.333333 0.333333 0.105263 0.0526316 0.789474 0.0526316 0 0 1 0 0 1 0 0 0 0 0 0.333333 0.666667 0 0 0.333333 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3200 0.155556 0.711111 0.133333 0 0.0227273 0.0454545 0.363636 0.568182 0 0 1 0 0 0 0 0 0 0.86 0.04 0.06 0.04 0 0 0 0.5 0 0.25 0.25 0.133333 0 0.866667 0 0 1 0 0 0 0.222222 0.444444 0.333333 0 0 0 0.75 0.25 0 0 0.25 0.75 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3400 0.169811 0.679245 0.150943 0 0.0434783 0.0217391 0.521739 0.413043 0.222222 0 0.777778 0 0 0 0 0 0 0.891892 0.027027 0.0810811 0 0 0 1 0.25 0 0.5 0.25 0 0.0769231 0.923077 0 0 0.333333 0.666667 0 0 0.666667 0.0833333 0.25 0 0 0 0 1 0 0 0.4 0.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3600 0.25 0.659091 0.0681818 0.0227273 0.0666667 0.0222222 0.466667 0.444444 0.4 0 0.4 0.2 0 0 0 0 0 0.8 0.06 0.1 0.04 0 0 1 0 0 1 0 0 0.0714286 0.928571 0 0 0 1 0 0 0.571429 0 0.428571 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
3800 0.127273 0.763636 0.109091 0 0.0217391 0.0869565 0.369565 0.521739 0 0 0.714286 0.285714 0 0 0 0 0 0.771429 0.142857 0.0285714 0.0571429 0 0 1 0.333333 0 0.666667 0 0.0526316 0 0.894737 0.0526316 0 0.5 0.5 0 0 0.555556 0 0.444444 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
